County,Year,Conviction,Violent Felony Offenses (VFO),Drugs,DWI,Property,Other,Total
Richmond,2016,Felony,30,29,3,28,26,116
Richmond,2016,Misdemeanor,0,17,58,40,54,169
Rockland,2016,Felony,24,17,50,62,64,217
Rockland,2016,Misdemeanor,0,17,46,44,58,165
St. Lawrence,2016,Felony,7,48,22,18,20,115
St. Lawrence,2016,Misdemeanor,0,20,24,33,30,107
Saratoga,2016,Felony,7,10,49,28,30,124
Saratoga,2016,Misdemeanor,0,25,62,65,90,242
Schenectady,2016,Felony,5,24,17,17,18,81
Schenectady,2016,Misdemeanor,0,10,33,95,64,202
Schoharie,2016,Felony,1,1,14,6,8,30
Schoharie,2016,Misdemeanor,0,5,5,9,14,33
Schuyler,2016,Felony,0,4,10,1,5,20
Schuyler,2016,Misdemeanor,0,2,3,3,4,12
Seneca,2016,Felony,1,7,25,10,13,56
Seneca,2016,Misdemeanor,0,9,12,26,28,75
Steuben,2016,Felony,7,18,29,32,40,126
Steuben,2016,Misdemeanor,0,22,14,46,71,153
Suffolk,2016,Felony,75,57,286,78,124,620
Suffolk,2016,Misdemeanor,0,100,586,289,314,1289
Sullivan,2016,Felony,4,6,28,16,15,69
Sullivan,2016,Misdemeanor,0,11,30,45,46,132
Tioga,2016,Felony,4,3,5,8,7,27
Tioga,2016,Misdemeanor,0,11,4,18,28,61
Tompkins,2016,Felony,10,5,21,21,16,73
Tompkins,2016,Misdemeanor,0,8,41,42,44,135
Ulster,2016,Felony,1,4,49,15,20,89
